Category,Difficulty,Problem,Link,date
Design,Easy,Problems,https://leetcode.com/problems/design-hashset,2022-05-26 12:33:58
Design,Medium,Problems,https://leetcode.com/problems/design-circular-queue,2022-05-26 12:33:58
Design,Medium,Problems,https://leetcode.com/problems/design-linked-list,2022-05-26 12:33:58
Design,Hard,Problems,https://leetcode.com/problems/maximum-frequency-stack,2022-05-26 12:33:58
Greedy,Easy,Problems,https://leetcode.com/problems/assign-cookies,2022-05-27 09:46:29
Greedy,Medium,Merge Triplets To Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,2022-05-27 09:46:29
Greedy,Medium,Hand Of Straights,https://leetcode.com/problems/hand-of-straights/,2022-05-27 09:46:29
Greedy,Hard,Problems,https://leetcode.com/problems/candy,2022-05-27 09:46:29
Removing duplicates,Easy,Problems,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,2022-05-30 13:07:11
Removing duplicates,Medium,Problems,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,2022-05-30 13:07:11
Removing duplicates,Medium,Problems,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,2022-05-30 13:07:11
Removing duplicates,Hard,Problems,https://leetcode.com/problems/delete-duplicate-folders-in-system,2022-05-30 13:07:11
Binary strings,Easy,Problems,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,2022-05-31 06:13:00
Binary strings,Medium,Find Kth Bit In Nth Binary String,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string/,2022-05-31 06:13:00
Binary strings,Medium,Check If A String Contains All Binary Codes Of Size K,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/,2022-05-31 06:13:00
Binary strings,Hard,Special Binary String,https://leetcode.com/problems/special-binary-string/,2022-05-31 06:13:00
Array sum,Easy,Running Sum Of 1D Array,https://leetcode.com/problems/running-sum-of-1d-array/,2022-06-01 16:14:53
Array sum,Medium,Problems,https://leetcode.com/problems/find-triangular-sum-of-an-array,2022-06-01 16:14:53
Array sum,Medium,Sum Of Beauty In The Array,https://leetcode.com/problems/sum-of-beauty-in-the-array/,2022-06-01 16:14:53
Array sum,Hard,Problems,https://leetcode.com/problems/maximum-and-sum-of-array,2022-06-01 16:14:53
Matrix transformations,Easy,Transpose Matrix,https://leetcode.com/problems/transpose-matrix/,2022-06-02 02:03:54
Matrix transformations,Easy,Reshape The Matrix,https://leetcode.com/problems/reshape-the-matrix/,2022-06-02 02:03:54
Matrix transformations,Medium,Sort The Matrix Diagonally,https://leetcode.com/problems/sort-the-matrix-diagonally/,2022-06-02 02:03:54
Matrix transformations,Medium,Spiral Matrix Ii,https://leetcode.com/problems/spiral-matrix-ii/,2022-06-02 02:03:54
Range sum queries,Easy,Problems,https://leetcode.com/problems/range-sum-query-immutable,2022-06-03 15:55:19
Range sum queries,Medium,Range Sum Query 2D Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable/,2022-06-03 15:55:19
Range sum queries,Medium,Problems,https://leetcode.com/problems/range-sum-query-mutable,2022-06-03 15:55:19
Consecutive numbers,Easy,Three Consecutive Odds,https://leetcode.com/problems/three-consecutive-odds/,2022-06-06 15:38:41
Consecutive numbers,Medium,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,2022-06-06 15:38:41
Consecutive numbers,Medium,Find Three Consecutive Integers That Sum To A Given Number,https://leetcode.com/problems/find-three-consecutive-integers-that-sum-to-a-given-number/,2022-06-06 15:38:41
Consecutive numbers,Hard,Consecutive Numbers Sum,https://leetcode.com/problems/consecutive-numbers-sum/,2022-06-06 15:38:41
Grouping,Easy,Divide A String Into Groups Of Size K,https://leetcode.com/problems/divide-a-string-into-groups-of-size-k/,2022-06-07 07:34:23
Grouping,Medium,Problems,https://leetcode.com/problems/group-anagrams,2022-06-07 07:34:23
Grouping,Medium,Problems,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,2022-06-07 07:34:23
Grouping,Hard,Similar String Groups,https://leetcode.com/problems/similar-string-groups/,2022-06-07 07:34:23
Game theory,Easy,Nim Game,https://leetcode.com/problems/nim-game/,2022-06-08 09:08:15
Game theory,Medium,Problems,https://leetcode.com/problems/stone-game,2022-06-08 09:08:15
Game theory,Medium,Problems,https://leetcode.com/problems/stone-game-ii,2022-06-08 09:08:15
Game theory,Hard,Problems,https://leetcode.com/problems/guess-the-word,2022-06-08 09:08:15
Ancestors of trees,Easy,Problems,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,2022-06-09 15:26:38
Ancestors of trees,Medium,Problems,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,2022-06-09 15:26:38
Ancestors of trees,Medium,Problems,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves,2022-06-09 15:26:38
Ancestors of trees,Hard,Problems,https://leetcode.com/problems/kth-ancestor-of-a-tree-node,2022-06-09 15:26:38
Longest substring,Easy,Problems,https://leetcode.com/problems/longest-nice-substring,2022-06-10 10:22:38
Longest substring,Medium,Problems,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,2022-06-10 10:22:38
Longest substring,Medium,Problems,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,2022-06-10 10:22:38
Longest substring,Hard,Problems,https://leetcode.com/problems/longest-duplicate-substring,2022-06-10 10:22:38
Lexicographic strings.,Medium,Problems,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations,2022-06-13 14:05:10
Lexicographic strings.,Medium,Problems,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,2022-06-13 14:05:10
Lexicographic strings.,Hard,Problems,https://leetcode.com/problems/last-substring-in-lexicographical-order,2022-06-13 14:05:10
Islands,Easy,Problems,https://leetcode.com/problems/island-perimeter,2022-06-14 17:06:31
Islands,Medium,Problems,https://leetcode.com/problems/max-area-of-island,2022-06-14 17:06:31
Islands,Medium,Problems,https://leetcode.com/problems/count-sub-islands,2022-06-14 17:06:31
Islands,Hard,Problems,https://leetcode.com/problems/making-a-large-island,2022-06-14 17:06:31
Pairing,Easy,Divide Array Into Equal Pairs,https://leetcode.com/problems/divide-array-into-equal-pairs/,2022-06-15 05:50:14
Pairing,Medium,Maximum Length Of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain/,2022-06-15 05:50:14
Pairing,Medium,Maximum Distance Between A Pair Of Values,https://leetcode.com/problems/maximum-distance-between-a-pair-of-values/,2022-06-15 05:50:14
Pairing,Hard,Reverse Pairs,https://leetcode.com/problems/reverse-pairs/,2022-06-15 05:50:14
2d grids,Easy,Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid/,2022-06-16 10:13:34
2d grids,Medium,Grid Game,https://leetcode.com/problems/grid-game/,2022-06-16 10:13:34
2d grids,Medium,Detect Cycles In 2D Grid,https://leetcode.com/problems/detect-cycles-in-2d-grid/,2022-06-16 10:13:34
2d grids,Hard,Grid Illumination,https://leetcode.com/problems/grid-illumination/,2022-06-16 10:13:34
N-ary trees,Easy,N Ary Tree Postorder Traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal/,2022-06-17 09:57:57
N-ary trees,Easy,N Ary Tree Preorder Traversal,https://leetcode.com/problems/n-ary-tree-preorder-traversal/,2022-06-17 09:57:57
N-ary trees,Easy,Maximum Depth Of N Ary Tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/,2022-06-17 09:57:57
N-ary trees,Medium,N Ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal/,2022-06-17 09:57:57
Minimum distance,Easy,Problems,https://leetcode.com/problems/shortest-distance-to-a-character,2022-06-20 11:17:18
Minimum distance,Medium,Problems,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations,2022-06-20 11:17:18
Minimum distance,Medium,Problems,https://leetcode.com/problems/maximize-distance-to-closest-person,2022-06-20 11:17:18
Minimum distance,Hard,Problems,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,2022-06-20 11:17:18
Chess,Easy,Problems,https://leetcode.com/problems/determine-color-of-a-chessboard-square,2022-06-22 10:58:36
Chess,Medium,Queens That Can Attack The King,https://leetcode.com/problems/queens-that-can-attack-the-king/,2022-06-22 10:58:36
Chess,Medium,Knight Dialer,https://leetcode.com/problems/knight-dialer/,2022-06-22 10:58:36
Chess,Hard,Problems,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,2022-06-22 10:58:36
Maximum subarray dp,Easy,Problems,https://leetcode.com/problems/maximum-subarray,2022-06-23 11:48:12
Maximum subarray dp,Medium,Problems,https://leetcode.com/problems/maximum-sum-circular-subarray,2022-06-23 11:48:12
Maximum subarray dp,Medium,Problems,https://leetcode.com/problems/maximum-product-subarray,2022-06-23 11:48:12
Maximum subarray dp,Medium,Problems,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product,2022-06-23 11:48:12
Graphs,Easy,Problems,https://leetcode.com/problems/flood-fill,2022-06-24 17:01:08
Graphs,Medium,Problems,https://leetcode.com/problems/time-needed-to-inform-all-employees,2022-06-24 17:01:08
Graphs,Medium,Problems,https://leetcode.com/problems/find-eventual-safe-states,2022-06-24 17:01:08
Graphs,Hard,Problems,https://leetcode.com/problems/shortest-path-visiting-all-nodes,2022-06-24 17:01:08
Array partitioning,Easy,Partition Array Into Three Parts With Equal Sum,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/,2022-06-27 14:54:08
Array partitioning,Medium,Partition Array Into Disjoint Intervals,https://leetcode.com/problems/partition-array-into-disjoint-intervals/,2022-06-27 14:54:08
Array partitioning,Medium,Partition Array For Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum/,2022-06-27 14:54:08
Array partitioning,Hard,Partition Array Into Two Arrays To Minimize Sum Difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/,2022-06-27 14:54:08
Missing values,Easy,Problems,https://leetcode.com/problems/missing-number,2022-06-28 16:54:32
Missing values,Easy,Problems,https://leetcode.com/problems/kth-missing-positive-number,2022-06-28 16:54:32
Missing values,Medium,Find Missing Observations,https://leetcode.com/problems/find-missing-observations/,2022-06-28 16:54:32
Missing values,Hard,Problems,https://leetcode.com/problems/first-missing-positive,2022-06-28 16:54:32
Data streams,Easy,Problems,https://leetcode.com/problems/kth-largest-element-in-a-stream,2022-06-29 15:53:18
Data streams,Medium,Problems,https://leetcode.com/problems/online-stock-span,2022-06-29 15:53:18
Data streams,Medium,Problems,https://leetcode.com/problems/product-of-the-last-k-numbers,2022-06-29 15:53:18
Data streams,Hard,Problems,https://leetcode.com/problems/stream-of-characters,2022-06-29 15:53:18
Minimum moves,Easy,Problems,https://leetcode.com/problems/minimum-moves-to-convert-string,2022-06-30 16:10:58
Minimum moves,Medium,Problems,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,2022-06-30 16:10:58
Minimum moves,Medium,Minimum Moves To Equal Array Elements Ii,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/,2022-06-30 16:10:58
Minimum moves,Hard,Minimum Moves To Reach Target With Rotations,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations/,2022-06-30 16:10:58
Greedy,Easy,Problems,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result,2022-07-01 13:03:51
